,Year,Donor,Recipient,Value,recipient_code,donor_code,gdp,pop,openness,chn_aid,unsc
14655,2001,Portugal,Bosnia and Herzegovina,0.89,BIH,PRT,1530.814816,3755512.0,104.3189001,1574000.0,0.0
14657,2003,Portugal,Bosnia and Herzegovina,0.46,BIH,PRT,2224.745864,3762173.0,113.45976280000001,2260000.0,0.0
14980,2004,Spain,Albania,1.61,ALB,ESP,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
14981,2005,Spain,Albania,2.25,ALB,ESP,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
14983,2007,Spain,Albania,10.54,ALB,ESP,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
14984,2008,Spain,Albania,6.19,ALB,ESP,4370.539925,2947314.0,77.4517515,0.0,0.0
14985,2009,Spain,Albania,3.63,ALB,ESP,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
14986,2010,Spain,Albania,0.78,ALB,ESP,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
14987,2011,Spain,Albania,0.72,ALB,ESP,4437.177794,2905195.0,81.21856893,0.0,0.0
15788,2004,Sweden,Albania,6.78,ALB,SWE,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
15789,2005,Sweden,Albania,18.42,ALB,SWE,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
15791,2007,Sweden,Albania,9.5,ALB,SWE,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
15792,2008,Sweden,Albania,3.87,ALB,SWE,4370.539925,2947314.0,77.4517515,0.0,0.0
15793,2009,Sweden,Albania,6.2,ALB,SWE,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
15794,2010,Sweden,Albania,9.54,ALB,SWE,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
15795,2011,Sweden,Albania,14.24,ALB,SWE,4437.177794,2905195.0,81.21856893,0.0,0.0
16536,2004,Switzerland,Albania,7.76,ALB,CHE,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
16537,2005,Switzerland,Albania,7.98,ALB,CHE,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
16539,2007,Switzerland,Albania,21.77,ALB,CHE,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
16540,2008,Switzerland,Albania,6.59,ALB,CHE,4370.539925,2947314.0,77.4517515,0.0,0.0
16541,2009,Switzerland,Albania,6.0,ALB,CHE,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
16542,2010,Switzerland,Albania,16.83,ALB,CHE,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
16543,2011,Switzerland,Albania,32.88,ALB,CHE,4437.177794,2905195.0,81.21856893,0.0,0.0
17303,2004,United Kingdom,Albania,4.03,ALB,GBR,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
17304,2005,United Kingdom,Albania,3.78,ALB,GBR,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
17306,2007,United Kingdom,Albania,6.76,ALB,GBR,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
17307,2008,United Kingdom,Albania,2.77,ALB,GBR,4370.539925,2947314.0,77.4517515,0.0,0.0
17308,2009,United Kingdom,Albania,1.44,ALB,GBR,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
17309,2010,United Kingdom,Albania,0.83,ALB,GBR,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
17310,2011,United Kingdom,Albania,0.68,ALB,GBR,4437.177794,2905195.0,81.21856893,0.0,0.0
18331,2004,United States,Albania,39.74,ALB,USA,2373.5798440000003,3026939.0,67.04722821,1200000.0,0.0
18332,2005,United States,Albania,41.12,ALB,USA,2673.7872829999997,3011487.0,70.87232827,13800.0,0.0
18334,2007,United States,Albania,24.27,ALB,USA,3595.0371630000004,2970017.0,83.20210079,1230000.0,0.0
18335,2008,United States,Albania,41.12,ALB,USA,4370.539925,2947314.0,77.4517515,0.0,0.0
18336,2009,United States,Albania,30.99,ALB,USA,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
18337,2010,United States,Albania,29.53,ALB,USA,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
18338,2011,United States,Albania,21.64,ALB,USA,4437.177794,2905195.0,81.21856893,0.0,0.0
19393,2011,Czech Republic,Albania,0.28,ALB,CZE,4437.177794,2905195.0,81.21856893,0.0,0.0
19516,2013,Iceland,Belarus,0.11,BLR,ISL,7978.872615,9465997.0,119.8159652,100610111.4,0.0
19525,2010,Kuwait,Albania,1.4,ALB,KWT,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
19526,2011,Kuwait,Albania,7.65,ALB,KWT,4437.177794,2905195.0,81.21856893,0.0,0.0
19530,2006,Kuwait,Morocco,3.46,MAR,KWT,2196.01219,30804683.0,71.49628678,2501255.365,0.0
19534,2013,Kuwait,Benin,1.06,BEN,KWT,915.3156212000001,10004588.0,63.89360182,65880664.21,0.0
19583,2001,Turkey,Bosnia and Herzegovina,0.2,BIH,TUR,1530.814816,3755512.0,104.3189001,1574000.0,0.0
19584,2003,Turkey,Bosnia and Herzegovina,0.66,BIH,TUR,2224.745864,3762173.0,113.45976280000001,2260000.0,0.0
19648,2009,United Arab Emirates,Albania,0.8,ALB,ARE,4114.134899000001,2927519.0,75.09491440000001,1463825.351,0.0
19649,2010,United Arab Emirates,Albania,0.14,ALB,ARE,4094.3588159999995,2913021.0,76.54341698,20000.0,0.0
19669,2013,United Arab Emirates,Morocco,5.0,MAR,ARE,3121.681176,33715693.0,80.02055856,3228014.858,1.0
19709,2001,United Arab Emirates,Sudan,0.12,SDN,ARE,383.01599869999995,27971082.0,24.19332776,0.0,0.0
19744,2006,United Arab Emirates,Afghanistan,30.0,AFG,ARE,263.7337347,26433049.0,99.8222097,1000000.0,0.0
41262,2002,United Arab Emirates,Turkey,33.85,TUR,ARE,3659.939869,65145367.0,47.46053912,5000.0,0.0
62563,2007,Hungary,Mongolia,0.18,MNG,HUN,1632.726952,2593820.0,117.88042639999999,2628973.3230000003,0.0
62587,2004,Israel,North Macedonia,0.02,MKD,ISR,2762.5603579999997,2057048.0,80.87012885,2500000.0,0.0
62982,2008,United Arab Emirates,Morocco,4.05,MAR,ARE,2890.360083,31536811.0,85.6728209,0.0,0.0
117916,2007,Poland,Moldova,4.71,MDA,POL,1230.434685,3576910.0,142.721685,2000000.0,0.0
128071,2014,Timor-Leste,Indonesia,0.5,IDN,TLS,3491.6247909999997,255129004.0,48.08017559,465717531.4,0.0
184793,2004,Poland,Uzbekistan,18.86,UZB,POL,465.1198869,25864350.0,76.5956692,6040981.414,0.0
