year,recipient_code,chn_aid
2012,NER,27500000
2013,NER,1174220221.2086
2001,NGA,0
2002,NGA,205500000
2003,NGA,6139530.380000001
2004,NGA,2250000
2005,NGA,4914381.716
2006,NGA,508660799.871
2007,NGA,572936.04481
2008,NGA,7200000
2009,NGA,12500000
2012,NGA,600000000
2013,NGA,975012713.61522
2014,NGA,1627754.094
2008,NIU,200000
2010,NIU,0
2000,PAK,17991589.5384
2001,PAK,3884225.5136
2003,PAK,1723756.841
2004,PAK,50000
2005,PAK,38042638.4123
2006,PAK,302700000
2007,PAK,400331448.6662
2008,PAK,220774336.24142
2009,PAK,19625671.40429
2010,PAK,196376609.05609
2011,PAK,5854494.23137
2013,PAK,44000000
2014,PAK,430866508.7
2000,PSE,362384.3076
2001,PSE,1000000
2002,PSE,2500000
2005,PSE,13101790.061999999
2008,PSE,1500000
2009,PSE,11000000
2011,PSE,5500000
2000,PNG,11207947.692
2001,PNG,251754.047357
2002,PNG,1553484.440593
2003,PNG,30868.93635
2004,PNG,7829537.93848
2005,PNG,16954229.785
2006,PNG,250785.1515316
2007,PNG,603568.9782
2008,PNG,989183.0479
2009,PNG,79601000
2010,PNG,85001470.969948
2011,PNG,9093324.86688
2012,PNG,11182749.043000001
2013,PNG,11298052
2014,PNG,71504.457855
2002,PER,1200000
2003,PER,2400000
2006,PER,1200000
2007,PER,3139291.189
2008,PER,24391.19708
2009,PER,517000
2014,PER,84535.49447
2000,PHL,4134804.949
2001,PHL,35000000
2002,PHL,24985000
2003,PHL,5101469.7743
2004,PHL,50000
2006,PHL,50993645.482999995
2010,PHL,2000000
2013,PHL,1614007.429
2004,RUS,1308196.283
2000,RWA,0
2001,RWA,23610199.565
2005,RWA,1553780.5349
2006,RWA,12165000
2007,RWA,161962643.179
2008,RWA,223548846.9997
2009,RWA,70000
2010,RWA,5428928.485
2011,RWA,15476375.226
2012,RWA,140340636.89
2013,RWA,30638496.575999998
2014,RWA,35289825.471
2004,WSM,100000
2006,WSM,24500000
2007,WSM,0
2009,WSM,7850000
2011,WSM,20490000
2012,WSM,11175000
2013,WSM,2163659.148
2014,WSM,36300000
2013,STP,0
2006,SEN,22712492.258
2007,SEN,113636006.47999999
2009,SEN,23000000
2011,SEN,10833462.66
2012,SEN,50211948
2013,SEN,0
2014,SEN,30000
2006,SRB,1254483.472
2007,SRB,0
2008,SRB,1439127.428
2009,SRB,216750000
2010,SRB,30264676.21
2011,SRB,300000000
2012,SRB,293042431.0814
2005,SYC,50000
2006,SYC,0
2007,SYC,15309768.855
2008,SYC,3500000
2009,SYC,0
2010,SYC,0
2011,SYC,58136719.893999994
2012,SYC,0
2013,SYC,0
2014,SYC,0
2000,SLE,250000
2001,SLE,0
2003,SLE,0
2004,SLE,0
2005,SLE,0
2006,SLE,30000000
2007,SLE,22000000
2008,SLE,16600000
2009,SLE,0
2011,SLE,15314225
2012,SLE,25158420.037
2013,SLE,30000000
2014,SLE,57918283.5974
2004,SOM,137891.28623
2005,SOM,3000500
2007,SOM,632000
2009,SOM,646382.5351
